Sample ID,Peptoniphilaceae,Campylobacteraceae,Streptococcaceae,Moraxellaceae,Staphylococcaceae,Prevotellaceae,Corynebacteriaceae,Peptostreptococcaceae,Lactobacillaceae,Veillonellaceae,Mycoplasmataceae,Oxalobacteraceae,Propionibacteriaceae,Fusobacteriaceae,Actinomycetaceae,Burkholderiaceae,Bradyrhizobiaceae,Rhodobacteraceae,Caulobacteraceae,Bacillaceae,Porphyromonadaceae,Sphingomonadaceae,Bifidobacteriaceae,Aerococcaceae,Clostridiaceae,Flavobacteriaceae,Neisseriaceae,Deinococcaceae,Paenibacillaceae,Bacteroidaceae,Micrococcaceae,Lachnospiraceae,Comamonadaceae,Enterobacteriaceae,Intrasporangiaceae,Thermoanaerobacteraceae,Pasteurellaceae,Promicromonosporaceae,Methylobacteriaceae,Listeriaceae,Erysipelotrichaceae,Hungateiclostridiaceae,Tissierellaceae,Steroidobacteraceae,Acidiferrobacteraceae,Erwiniaceae,Enterococcaceae,Spirochaetaceae,Sinobacteraceae,Alteromonadaceae,Thermoanaerobacterales.Family.III..Incertae.Sedis,Leptotrichiaceae,Atopobiaceae,Piscirickettsiaceae,Clostridiales.Family.XIII..Incertae.Sedis,Dermabacteraceae,Gottschalkiaceae,Phyllobacteriaceae,Muribaculaceae,Peptococcaceae,Sterolibacteriaceae,Selenomonadaceae,Rhizobiaceae,Ruminococcaceae,Rhodospirillaceae,Xanthomonadaceae,Marinilabiliaceae,Carnobacteriaceae,Brevibacteriaceae,Nocardiaceae,Helicobacteraceae,Alcaligenaceae,Dysgonamonadaceae,Microbacteriaceae,Deferribacteraceae,Planococcaceae,Syntrophomonadaceae,Thermoactinomycetaceae,Leuconostocaceae,Synergistaceae,Pseudomonadaceae,Hydrogenophilaceae,Sporomusaceae,Eubacteriaceae,Christensenellaceae,Pseudonocardiaceae,Shewanellaceae,Sutterellaceae,Streptomycetaceae,Tannerellaceae,Hyphomicrobiaceae,Thermoanaerobacterales.Family.IV..Incertae.Sedis,Eggerthellaceae,Vibrionaceae,Chromatiaceae,Merismopediaceae,Gemmatimonadaceae,Sphingobacteriaceae,Yersiniaceae,Symbiobacteriaceae,Anaplasmataceae,Aurantimonadaceae,Barnesiellaceae,Rhodanobacteraceae,Dietziaceae,Coxiellaceae,Isosphaeraceae,Flammeovirgaceae,Planctomycetaceae,Chitinophagaceae,Halobacteroidaceae,Dermacoccaceae,Hymenobacteraceae,Pelagibacteraceae,Acetobacteraceae,Idiomarinaceae,Alicyclobacillaceae,Mycobacteriaceae,Marinifilaceae,Desulfobacteraceae,Actinopolysporaceae,Clostridiales.Family.XVII..Incertae.Sedis,Morganellaceae,Rhodobiaceae,Acidobacteriaceae,Desulfovibrionaceae,Chelatococcaceae,Oscillospiraceae,Chrysiogenaceae,Pectobacteriaceae,Streptosporangiaceae,Xanthobacteraceae,Nocardioidaceae,Hyphomonadaceae,Odoribacteraceae,Cytophagaceae,Rubrobacteraceae,Rikenellaceae,Dictyoglomaceae,Rickettsiaceae,Erythrobacteraceae,Oscillatoriaceae,Chlorobiaceae,Brucellaceae,Brachyspiraceae,Coriobacteriaceae,Cohaesibacteraceae,Acidaminococcaceae,Sanguibacteraceae,Acholeplasmataceae,Kosmotogaceae,Ectothiorhodospiraceae,Micromonosporaceae,Vicinamibacteraceae,Psychromonadaceae,Cyclobacteriaceae,Bartonellaceae,Gallionellaceae,Desulfobulbaceae,Francisellaceae,Chromobacteriaceae,Halanaerobiaceae,Aphanothecaceae,Natranaerobiaceae,Thermotogaceae,Oceanospirillaceae,Aeromonadaceae,Thermaceae,Aquificaceae,Euzebyaceae,Anaerolineaceae,Heliobacteriaceae,Waddliaceae,Gordoniaceae,Parachlamydiaceae,Microcoleaceae,Conexibacteraceae,Halomonadaceae,Gloeomargaritaceae,Bogoriellaceae,Beijerinckiaceae,Nakamurellaceae,Entomoplasmataceae,Methylococcaceae,Alcanivoracaceae,Nostocaceae,Spiroplasmataceae,Hafniaceae,Aphanizomenonaceae,Nitrosomonadaceae,Pseudoalteromonadaceae,Mesoaciditogaceae,Cellulomonadaceae,Nocardiopsaceae,Desulfurellaceae,Colwelliaceae,Rhodothermaceae,Methylocystaceae,Hahellaceae,Desulfurobacteriaceae,Candidatus.Brocadiaceae,Thermomonosporaceae,Beutenbergiaceae,Borreliaceae,Methylophilaceae,Cryomorphaceae,Acidothermaceae,Synechococcaceae,Zoogloeaceae,Chloroflexaceae,Labilitrichaceae,Egibacteraceae,Leptospiraceae,Kangiellaceae,Thermodesulfobacteriaceae,Candidatus.Nanopelagicaceae,Gloeobacteraceae,Holosporaceae,Moritellaceae,Bdellovibrionaceae,Legionellaceae,Halothiobacillaceae,Chlamydiaceae,Clostridiales.Family.XVI..Incertae.Sedis,Parvularculaceae,Nitrospiraceae,Thermomicrobiaceae,Kineosporiaceae,Glycomycetaceae,Petrotogaceae,Desulfomicrobiaceae,Ruaniaceae,Azonexaceae,Nautiliaceae,Halieaceae,Cellvibrionaceae,Candidatus.Midichloriaceae,Fibrobacteraceae,Thiobacillaceae,Scytonemataceae,Pseudanabaenaceae,Akkermansiaceae,Microbulbiferaceae,Geobacteraceae,Candidatus.Deianiraeaceae,Frankiaceae,Budviciaceae,Paludibacteraceae,Amoebophilaceae,Microcystaceae,Ardenticatenaceae,Blattabacteriaceae,Prolixibacteraceae,Thiotrichaceae,Ktedonosporobacteraceae,Dehalococcoidaceae,Halobacteriovoraceae,Geodermatophilaceae,Fervidobacteriaceae,Sporichthyaceae,Salinivirgaceae,Kiritimatiellaceae,Magnetococcaceae,Sandaracinaceae,Spongiibacteraceae,Woeseiaceae,Coprothermobacteraceae,Emcibacteraceae,Dermocarpellaceae,Tepidiformaceae,Ilumatobacteraceae,Opitutaceae,Syntrophaceae,Methylacidiphilaceae,Rhodocyclaceae,Cardiobacteriaceae,Haliscomenobacteraceae,Roseiflexaceae,Tsukamurellaceae,Simkaniaceae,Acidimicrobiaceae,Acaryochloridaceae,Sphaerobacteraceae,Limnochordaceae,Chthonomonadaceae,Egicoccaceae,Jiangellaceae,Orbaceae,Bernardetiaceae,Succinivibrionaceae,Sporolactobacillaceae,Gemmataceae
UAB 17012,13.4539,34.163,0.0061,0.0141,0.893,1.7537,0.101,7.522,11.9972,1.4022,0.0242,0.9759,0.0424,13.3892,0.994,0.1091,0.0828,0.0141,0.002,0.1071,0.2384,0,0.3596,1.283,0.1717,0.0202,0.0081,0.004,0.0121,0.0606,0,0.0283,0.0444,0.0081,0.002,0.004,0.002,0,0.0101,0.0364,0.0788,0.2222,0.0061,0.002,0,0.0263,0.0061,0.0061,0,0.0283,0.002,0,0.004,0,0.002,0.002,0.0061,0,0.0667,0.0162,0,0,0,0.002,0.0061,0,0.0465,0,0,0.0222,0.0081,0.0222,0,0,0,0,0,0.002,0,0,0.0283,0,0,0.0101,0.0121,0,0,0.0081,0.002,0.004,0,0,0.0222,0,0,0,0.0182,0,0.002,0,0,0,0,0.0162,0,0.002,0,0,0.002,0,0.002,0,0,0,0,0,0,0,0.0101,0,0,0,0,0,0,0,0,0,0.002,0.002,0,0,0,0,0,0,0,0,0,0.0101,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0.002,0,0,0.002,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UAB 17013,4.5673,7.0112,2.9647,18.3093,1.7228,0.1603,9.2949,1.3221,2.3237,0.3205,25.601,3.3654,0.0401,2.4038,0.1603,0.1603,0,0,0,0.0801,0.0801,0,0.2003,0.0401,0.0401,0.0401,0,0.0401,0,0.1202,0,0,0,0,2.7244,0.0401,0,0,0,0,0.0401,0.0401,0,0,0,0,0,0,0.0401,0.0401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1202,0,0.1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UAB 17014,39.0739,4.8429,0.0211,0.0053,0.0079,0.8282,0.2361,21.2086,0.033,2.6008,0.0053,0,0.0633,0.0013,0.9865,0.4576,0.0145,0.0053,0,0.2071,0.0593,0.0026,0.0237,0.2453,0.2849,0.0277,0.0013,0,0.1767,0.0422,0.004,0.0356,0,0.0185,0.0013,0.0237,0.0013,0.0053,0.0013,0.0026,0.0185,0.1385,0.0831,0,0,0.1609,0.0396,0.2189,0,0.4352,0.3403,0,0.0106,0.0013,0.0145,0.0053,0.211,0,0.0079,0.0963,0.0013,0.004,0,0.0158,0.0066,0.0013,0.0026,0.0013,0.0026,0.0989,0.0185,0,0,0.0092,0.0026,0,0.0026,0.0053,0.0013,0,0.0013,0,0,0.0092,0.0106,0,0,0,0.0053,0.0409,0,0.0343,0.004,0.0013,0,0,0,0,0,0,0.0079,0,0,0,0,0,0.0106,0,0,0,0.0092,0,0,0.0026,0.0013,0,0.004,0.004,0,0.004,0,0,0,0,0,0.0171,0,0.0053,0.0026,0,0,0,0,0,0,0,0.004,0,0.0026,0,0,0.0013,0.0092,0,0,0,0,0,0,0.0026,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.0026,0,0,0,0,0,0,0,0.004,0,0,0,0,0.0026,0,0.0053,0,0,0.0013,0,0,0,0,0,0,0,0,0.0026,0,0.0013,0,0,0,0,0,0,0,0,0,0,0.0013,0,0,0.0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013,0,0,0.0013,0,0,0,0,0.0013,0,0,0,0.0013,0,0.0026,0,0,0,0,0,0,0,0,0,0,0.0026,0,0.0013,0,0,0,0.0026,0,0,0,0,0,0,0,0,0,0,0,0,0.0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UAB 17015,50.4887,0,2.5493,0.7045,6.2632,0,10.2745,5.6565,1.9058,0,0.0081,2.5737,1.9099,0,1.3072,1.8366,0,0.0041,0,0.1995,0,0,0.0081,0.0081,0.0855,0.2321,0.0122,0.0041,0.0367,0,0,0.6149,0.0122,0.0448,0,0.3991,0.0081,0,0,1.2339,0.0041,0,0.0041,0.6964,0.5661,0.0041,0.0081,0,0.2728,0,0.0855,0.0041,0.0855,0.3258,0.0041,0.7249,0.0041,0,0,0.0041,0,0,0,0,0,0,0,0,0,0.0081,0.0733,0.0041,0,0.0081,0.1385,0.0122,0.0041,0,0.0122,0,0.0081,0,0,0,0,0,0.0122,0,0.0041,0,0,0,0,0.0041,0,0,0,0,0,0,0.0122,0,0,0,0,0.0041,0,0,0.0122,0,0.0041,0,0,0,0,0,0,0.0041,0,0.0041,0,0,0,0,0,0.0041,0,0.0081,0.0204,0,0,0,0,0,0,0,0.0692,0,0.0041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0855,0,0,0,0.0041,0,0.0041,0.0041,0,0,0,0.0041,0,0,0,0,0.0041,0,0,0.0041,0,0,0,0,0,0,0,0,0,0,0.0041,0,0,0,0,0,0.0041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0041,0,0,0,0,0,0,0,0,0,0,0,0.0041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UAB 17016,25.1119,6.3158,0.081,0.004,0.0729,9.579,0.3554,0.7464,0.0162,3.9512,0.0065,0,0.7099,0.0016,4.4329,0.0858,0.0016,0,0.0105,0.153,0.2113,0.0008,0.0372,0.3457,0.4865,0.1886,0.0008,0.0008,0.2032,0.2752,0.0049,0.6258,0,0.0081,0.0008,0.3238,0.0008,0,0,0.0032,0.2914,0.395,0.3384,0,0,0.0364,0.0089,0.0251,0,0.0712,0.4582,0.0008,0.1651,0.0016,0.1036,0.0049,0.1279,0,0.0178,0.136,0,0.0049,0,0.1692,0.0024,0,0,0.0024,0.0089,0.132,0.0162,0,0,0.0073,0,0.0008,0.0073,0.0032,0,0.0429,0.0024,0,0,0.1036,0.1214,0.0089,0,0.0008,0.0121,0.0121,0,0.0097,0.0607,0.0008,0,0.136,0,0.0049,0.0008,0,0.0105,0,0.0194,0,0.0049,0.0113,0.0057,0.0113,0.004,0,0.0032,0,0.0024,0.0016,0.0089,0,0.0089,0.0065,0.0024,0.0016,0.0008,0,0.0008,0,0,0.0105,0,0.013,0.0016,0.0008,0,0.0202,0.0008,0,0.0016,0.0016,0,0.0024,0.004,0,0,0,0.0049,0,0,0.0073,0,0.0024,0,0,0,0.0024,0,0,0,0,0,0,0.0008,0,0,0.0024,0,0.0202,0,0,0,0,0.0008,0,0.0065,0.0016,0,0,0.0008,0.0032,0,0.0016,0,0.0049,0,0,0.0016,0,0.0008,0.017,0.004,0,0,0,0,0.0032,0,0.0008,0.0016,0.0008,0.0008,0,0,0.0024,0,0,0,0.0016,0,0.0008,0,0.0008,0,0,0.0008,0.0008,0.0008,0,0,0,0.0024,0,0,0,0,0,0.0008,0,0,0,0,0.0016,0.0008,0,0,0,0,0,0,0,0.0008,0,0,0,0.0016,0.0057,0,0.0008,0,0,0,0.0008,0,0,0,0.0008,0.0008,0.0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UAB 17017,54.0839,1.4064,16.3071,0.0005,0.0307,7.0188,0.0642,3.4498,0.1327,3.6122,0.0065,0.0027,1.2634,0.1349,0.3118,0.0469,0.0102,0,0,0.1349,0.2643,0.0005,0.8901,0.3819,0.0949,0.0097,0.0113,0.0011,0.048,0.1829,0.068,0.2789,0.0038,0.0038,0.0259,0.068,0,0.0011,0,0.007,0.157,0.0297,0.027,0,0,0.0129,0.0216,0.1349,0,0.0081,0.0475,0.5885,0.0744,0.0005,0.0081,0.1775,0.0081,0.0005,0.0081,0.0685,0,0.0081,0,0.0243,0.0027,0,0,0.0005,0.0011,0.0043,0.0005,0,0,0.0556,0.0005,0.007,0.0394,0.0043,0.0027,0,0.0005,0,0.0005,0.0076,0.0156,0.0129,0,0.0102,0.007,0.0043,0,0.0027,0.0102,0,0,0.0065,0.0092,0.0005,0.0016,0,0.0005,0,0.0022,0,0.0016,0.0092,0.0011,0.0059,0,0,0.0043,0,0,0.0129,0.0016,0,0.0065,0.0022,0,0.0011,0.0054,0,0.0005,0,0,0.0022,0,0.0076,0.0032,0.0005,0.0005,0,0.0151,0,0.0259,0.0022,0.0005,0.0005,0.0054,0,0,0.0005,0,0,0,0.0011,0,0,0,0.0005,0,0,0,0,0,0,0,0.0016,0,0.0005,0,0,0,0,0,0.0011,0,0,0,0.0005,0.0005,0,0,0.0005,0,0,0,0.0032,0.0005,0,0,0,0.0022,0,0,0,0.0005,0,0,0,0,0.0005,0,0.0005,0.0022,0.0011,0,0,0,0,0,0,0,0,0,0,0.0005,0,0,0,0.0005,0,0.0005,0.0005,0,0,0,0,0,0,0,0.0005,0,0.0011,0,0.0005,0,0,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,0.0005,0,0,0,0,0,0.0005,0,0,0,0.0005,0,0.0005,0,0.0005,0,0,0,0,0,0
UAB 17018,40.2941,0.5492,0.0413,3.0296,6.2482,0.0118,0.2658,0.1949,0.3366,5.5926,0,8.138,15.1007,0.0059,0.0413,0.7914,8.2206,0.0059,1.1752,0.1417,0.1476,0,0,0.0177,0.0413,0,0,0,0.0236,0.0177,0,0.0118,0,0.0059,0,0,0,0.0354,0.2185,0,0.5788,0.0059,0,0.0118,0.0236,0.0118,0.0118,0,0.0059,0.0059,0,0.0059,0,0.0059,0,0,0,0.0177,0.0059,0,0,0,0.0059,0,0,0,0.0177,0,0,0.0059,0.0177,0.1417,0.0177,0.0059,0.0059,0.0118,0.0059,0.0532,0.0118,0.0059,0.0059,0,0.7264,0,0,0,0,0,0,0,0.0768,0,0,0.0118,0,0,0,0,0.0059,0,0.0059,0.0059,0,0,0,0,0,0,0,0,0,0,0,0,0.0059,0,0,0.0059,0.0059,0.0059,0,0,0,0,0,0.0059,0.0177,0,0,0,0,0.0059,0,0,0,0,0,0,0,0.0059,0,0,0,0.0177,0,0,0,0.065,0,0,0.0886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0059,0,0,0,0,0,0.0059,0,0.0059,0,0,0.0059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0059,0,0,0,0.0059,0,0,0,0.0118,0,0,0,0,0,0,0,0,0,0,0.0059,0,0,0,0,0,0.0059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UAB 17019,66.9373,7.731,0.887,3.3187,1.3455,0.109,2.2889,0.124,0.1917,0.1315,0.1278,0.9659,0.7855,0.2481,1.7401,0.0714,0.3646,0.0301,0.0113,0.0526,0,0.6991,0.4247,0.0263,0.0564,0.342,0.0038,0,0.0075,0.0038,0.0075,0.0977,0.3683,0.2443,0.0113,0.1766,0.015,0.1917,0,0,0,0,0.1353,0,0,0.0038,0.0075,0.1278,0,0.0301,0,0,0.0263,0,0,0,0.015,0.015,0,0.0639,0.0113,0,0.0038,0.0038,0,0.0038,0,0.0038,0.0038,0.0977,0,0.0113,0,0.0113,0.0038,0,0,0,0,0,0.015,0,0,0.0038,0,0,0,0,0.0376,0,0.0113,0.0075,0,0.0789,0.2819,0,0,0,0.0226,0,0.0376,0,0,0.0075,0,0,0.0038,0,0,0,0.0038,0,0,0,0,0,0,0.0038,0,0,0.0301,0,0.015,0,0,0,0,0.0075,0,0.0075,0,0,0,0,0,0,0,0,0,0,0.0226,0,0,0,0.0188,0,0,0,0,0,0,0.0301,0,0,0,0,0,0,0,0,0,0.0038,0,0,0,0,0,0,0,0,0,0,0,0.0038,0,0,0,0,0,0.0038,0.0075,0,0,0,0,0,0,0,0,0.0075,0.0038,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UAB 17020,0.0425,0.0042,0.0255,0.2549,7.5619,0.7604,0.0212,0,25.3112,0.0042,0.1232,14.4271,4.1973,0.0085,0,10.5442,0.9771,0,0.8879,0.1954,0,7.8763,0.0042,0.0042,0,0.1572,0.0085,0.0042,3.3604,0.017,0.1699,0.1274,1.8225,0.3399,0,0,0.0042,0,0,0.0085,0,0,0,0,0,0.616,0,0,0,0,0,0,0,0,0,0,0,0.0042,0,0,0,0,0,0,0,0.0127,0,0,0,0.051,0,0.3441,0,0,0.0807,0.0085,0,0,0.0042,0,0.0085,0,0,0,0,0,0,0,0.0042,0,0,0,0,0.0085,0,0,0,0,0.017,0,0.0085,0,0,0,0,0,0,0.0595,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2209,0.0212,0,0.1827,0,0,0,0.0085,0.0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0042,0,0,0,0.0042,0.0042,0,0,0,0,0.0042,0,0,0.0552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0042,0,0,0,0,0.0042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UAB 17021,17.0334,0.1419,11.0894,3.9212,4.7551,3.105,0.3194,0.9226,0.6565,0.0177,0,3.726,6.8488,0,0.2839,7.807,0.4613,0,7.9666,4.0809,0,0,0.2129,0,5.9262,0.9581,0,0,1.9517,0.1242,0,0.3371,0,0.0355,0,0.2661,0.0177,0.0355,0,0,0,0,0.0177,0,0,0,0.0355,0,0,0,0,0,0.1065,0,0,0,0,0,0,0,0,0,0.0177,0,0.1952,0,0,0,0,0,0,0,0,0,0,0.7452,0,1.0823,0,0,0.3194,0,0,0.4791,0,0,0,0,0,0,0,0,0,0,0,0,0.0177,0,0,0.4968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177,0,0.0177,0.0177,0,0,0,0,0,0,0,0,0,0,0.0177,0,0,0.0177,0,0.1242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UAB 17022,56.9375,2.5812,0.016,3.4558,0.538,1.3485,0.3776,11.3383,0.016,0.9103,0.0053,0.0445,0.6377,0.0018,1.8223,0.5398,0.1995,3.0532,0,0.3919,0,0.4756,0.0089,0,0.253,0.0481,0.0018,0,0.1479,0.0321,0.0249,0.057,0.0214,0.0089,0,0.1389,0.0303,0,0.0232,0.0018,0.1247,0.0036,0.1033,0.0321,0.0285,0,0.0196,0.3866,0.0143,0.1746,0.0606,0,0.5202,0.0107,0.0053,0.0214,0.041,0.0036,0,0.1211,0,0,0.0018,0.0143,0.0071,0,0,0,0.0018,0.0445,0.016,0.0018,0,0,0.0036,0,0,0.0018,0.0125,0,0.0018,0,0,0.0018,0.0053,0,0,0,0.0089,0.0125,0.0036,0.1372,0.0499,0.0053,0,0,0,0,0,0.0018,0.0125,0,0,0,0,0.0089,0,0,0,0.31,0.0071,0,0,0.0071,0.0089,0,0.0071,0.0036,0,0.0053,0,0,0,0,0,0.0107,0,0.0107,0.0018,0.0018,0.0018,0,0,0,0,0.0214,0,0.0018,0,0.0267,0,0,0.0018,0,0,0.0018,0,0,0,0.0018,0,0,0.0018,0,0,0,0.0018,0,0,0,0.0018,0.0053,0.0018,0,0.0018,0,0,0,0,0,0.0018,0.0036,0.0338,0,0,0.0018,0,0.0018,0,0,0.0053,0,0,0,0,0.0018,0,0,0,0,0.0018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018,0,0,0,0.0018,0,0,0,0,0,0,0,0,0,0.0018,0,0,0,0,0,0,0,0,0,0.0018,0,0,0,0.0018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018,0,0
UAB 18001,22.7914,24.5175,0.0427,0.0007,0.0712,0.5584,0.1905,0.8347,0.7799,0.6788,0.0616,0.0036,2.4145,0.0014,1.6239,0.0053,0.0068,0.0007,0.0007,0.3632,11.1956,0.0014,0.0324,1.7549,0.4174,0.1585,0.0014,0.0014,0.1164,1.9323,0.0645,0.5246,0,0.0114,0.0046,0.2187,0.0719,0,0,0.0036,0.0862,0.0744,0.2098,0,0,0.0449,0.0324,0.0171,0,0.0502,0.2685,0,0.0068,0.0007,0.0128,0.0011,0.0726,0.0014,0.6378,0.0317,0,0.0053,0.0004,0.2276,0.0007,0.0004,0.7806,0.005,0.0028,0.0691,0.0125,0,1.3935,0.0666,0.0032,0.0018,0.0018,0.0039,1.0345,0.0702,0.0004,0,0,0.0452,0.0356,0.0011,0.0527,0,0.0085,0.0199,0,0.005,0.01,0.0007,0.0004,0,0.0007,0.1311,0.0014,0.0007,0.0046,0,0.005,0.0004,0.0014,0.0007,0.0028,0.0053,0,0.0007,0.0021,0,0.0043,0.0014,0.0417,0,0.005,0.0028,0.1061,0.1503,0.0014,0,0.0007,0,0.0004,0.0075,0,0.0053,0.0057,0.0011,0.1663,0,0.0021,0.0007,0.0239,0.0032,0,0.0025,0.0011,0.0004,0.0004,0,0.0028,0,0,0,0,0.0004,0,0.0014,0.0011,0.0011,0,0.0004,0,0.0495,0,0,0,0.0007,0,0.0036,0.0228,0.0032,0.0007,0,0,0.0007,0,0,0.0014,0.0018,0,0.0004,0,0.0004,0,0.0025,0,0.0053,0,0.0004,0.0004,0,0,0.0004,0.0004,0,0,0,0,0.0011,0.0004,0,0,0,0.0036,0.0011,0,0.0018,0.0004,0.0004,0,0,0.0004,0.0082,0.0018,0.0004,0,0,0,0,0.0018,0.0004,0,0,0,0,0,0,0,0.0004,0,0,0,0,0,0,0,0,0,0,0,0.0021,0.0004,0,0,0.0004,0,0,0,0,0.0007,0,0,0.0011,0,0.0014,0.0007,0,0,0.0032,0.0007,0,0,0,0,0,0,0,0.0014,0,0.0004,0.0004,0,0,0,0,0,0,0.0004,0,0,0,0,0,0.0011,0,0.0007,0,0.0004,0,0,0.0004,0,0.0007,0.0007,0,0.0004,0,0,0
