Sample ID,Firmicutes,Proteobacteria,Bacteroidetes,Actinobacteria,delta/epsilon subdivisions,Tenericutes,Fusobacteria,Cyanobacteria,Synergistetes,Spirochaetes,Armatimonadetes,Deinococcus-Thermus,Chloroflexi,Candidatus Melainabacteria
CON 02,82.5713,6.2595,1.1035,3.9962,6.0651,0.0000,0.0000,0.0006,0.0000,0.0000,0.0000,0.0000,0.0039,0.0000
CON 03,77.1552,21.0181,0.2980,1.5267,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CON 04,90.7350,1.4656,3.9155,2.5285,1.3545,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000
CON 05,90.8231,0.0103,0.0016,9.1524,0.0047,0.0000,0.0000,0.0079,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CON 06,99.3754,0.6021,0.0113,0.0056,0.0056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CON 07,20.8435,78.3231,0.8216,0.0109,0.0008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CON 08,66.3717,7.9646,21.2389,0.8850,3.5398,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CON 09,66.5364,27.5201,0.9675,4.8568,0.0143,0.0000,0.0000,0.0000,0.0000,0.0000,0.1049,0.0000,0.0000,0.0000
CON 10,54.1416,15.4022,11.7286,3.5503,15.0990,0.0000,0.0773,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,0.0000
CON 11,67.3215,5.3044,7.6213,12.9446,5.0761,0.0000,1.7321,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CON 12,81.4606,12.4043,0.0120,6.1152,0.0066,0.0000,0.0013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CON 13,73.6087,23.1100,0.1666,2.7930,0.3204,0.0013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CON 14,79.7631,2.9478,0.0011,17.2847,0.0011,0.0000,0.0022,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
